0,Japan
1,Indonesia
2,India
3,China
4,Philippines
5,Brazil
6,Korea
7,Mexico
8,Egypt
9,Pakistan
10,Bangladesh
11,United States
12,Thailand
13,Russia
14,Argentina
15,Nigeria
16,Vietnam
17,Turkey
18,Iran
19,Congo (Kinshasa)
20,United Kingdom
21,France
22,Peru
23,Angola
24,Malaysia
25,Colombia
26,Tanzania
27,Sudan
28,South Africa
29,Hong Kong
30,Saudi Arabia
31,Chile
32,Burma
33,Spain
34,Iraq
35,Singapore
36,Cameroon
37,Ethiopia
38,Canada
39,Kenya
40,Australia
41,Côte d’Ivoire
42,Germany
43,Afghanistan
44,Mali
45,Jordan
46,Ghana
47,United Arab Emirates
48,Venezuela
49,Morocco
50,Bolivia
51,Uzbekistan
52,Ecuador
53,Burkina Faso
54,Greece
55,Guatemala
56,Kuwait
57,Ukraine
58,Taiwan
59,Italy
60,Syria
61,Congo (Brazzaville)
62,Yemen
63,Lebanon
64,Romania
65,Algeria
66,Azerbaijan
67,Kazakhstan
68,Austria
69,Cambodia
70,Somalia
71,Cuba
72,Poland
73,Belarus
74,Netherlands
75,Puerto Rico
76,Zambia
77,Oman
78,Uruguay
79,Hungary
80,Uganda
81,Guinea
82,Tajikistan
83,Zimbabwe
84,Costa Rica
85,El Salvador
86,Togo
87,Niger
88,New Zealand
89,Senegal
90,Bulgaria
91,Mongolia
92,Czechia
93,Denmark
94,Finland
95,Dominican Republic
96,Madagascar
97,Honduras
98,Belgium
99,Serbia
100,Qatar
101,Libya
102,Rwanda
103,Kyrgyzstan
104,Burundi
105,Mozambique
106,Georgia
107,Armenia
108,Mauritania
109,Nicaragua
110,Turkmenistan
111,Liberia
112,Sweden
113,Malawi
114,Haiti
115,Eritrea
116,Sierra Leone
117,Laos
118,Israel
119,Central African Republic
120,Panama
121,Nepal
122,Chad
123,Gabon
124,Croatia
125,Sri Lanka
126,Bahrain
127,Norway
128,Benin
129,Moldova
130,Estonia
131,Latvia
132,Djibouti
133,Tunisia
134,Ireland
135,Gaza Strip
136,Lithuania
137,Jamaica
138,Macau
139,Portugal
140,Guinea-Bissau
141,Malta
142,Paraguay
143,Slovakia
144,South Sudan
145,Switzerland
146,Namibia
147,North Macedonia
148,Albania
149,Gambia
150,Lesotho
151,Cyprus
152,Reunion
153,Papua New Guinea
154,Equatorial Guinea
155,Slovenia
156,Bahamas
157,Martinique
158,Guadeloupe
159,Bosnia and Herzegovina
160,Suriname
161,Botswana
162,Guyana
163,Timor-Leste
164,Kosovo
165,West Bank
166,New Caledonia
167,Montenegro
168,Curaçao
169,Mauritius
170,Iceland
171,Maldives
172,Luxembourg
173,French Polynesia
174,Guam
175,Bhutan
176,Eswatini
177,Barbados
178,Trinidad and Tobago
179,Fiji
180,Solomon Islands
181,Sao Tome and Principe
182,Mayotte
183,Cabo Verde
184,Saint Lucia
185,French Guiana
186,Brunei
187,Vanuatu
188,Belize
189,Monaco
190,Samoa
191,Gibraltar
192,Grenada
193,Jersey
194,Comoros
195,Marshall Islands
196,Kiribati
197,Aruba
198,Isle of Man
199,Cayman Islands
200,Tonga
201,Seychelles
202,Saint Vincent and the Grenadines
203,Andorra
204,Antigua and Barbuda
205,Guernsey
206,Greenland
207,Dominica
208,Micronesia
209,Faroe Islands
210,Saint Kitts and Nevis
211,Virgin Islands
212,American Samoa
213,San Marino
214,Bonaire
215,Palau
216,Tuvalu
217,Liechtenstein
218,Saint Martin
219,Saint Pierre and Miquelon
220,Cook Islands
221,Turks and Caicos Islands
222,Anguilla
223,Northern Mariana Islands
224,Saint Barthelemy
225,Falkland Islands (Islas Malvinas)
226,Sint Maarten
227,Svalbard
228,Christmas Island
229,Wallis and Futuna
230,Bermuda
231,Vatican City
232,Nauru
233,Saint Helena
234,Niue
235,Montserrat
236,Norfolk Island
237,South Georgia and South Sandwich Islands
238,Pitcairn Islands
239,South Georgia And South Sandwich Islands
240,U.S. Virgin Islands
