236381,0,3
74830,0,5
234544,0,4
236142,1,2
238750,2,2
238754,2,1
27958,3,4
27958,3,4
27956,3,1
27959,3,4
238271,4,1
13351,4,3
238271,4,2
9082,5,1
24782,5,1
1430,5,4
62113,5,3
47108,6,1
47105,6,3
47105,6,4
65468,7,4
39715,7,1
75417,7,5
164044,7,1
148820,8,2
235457,9,2
48938,10,5
48939,10,5
34174,10,1
29289,10,2
94442,11,3
234030,11,5
236205,11,4
195346,11,1
9090,12,2
46559,12,1
53136,12,3
4117,12,1
57466,13,1
129333,14,3
36049,15,3
120912,15,5
36165,16,3
449,17,1
446,17,2
449,17,2
447,17,1
21582,18,3
209108,19,3
8599,19,4
6914,19,2
183980,20,1
137258,20,4
141716,21,4
77262,21,3
153826,21,1
142160,22,5
153491,22,3
56003,22,2
235410,23,2
235412,23,5
235411,23,3
235411,23,3
87110,24,2
178173,24,4
167664,24,4
124293,25,1
180635,25,2
201065,25,2
155366,25,5
106120,26,5
116579,26,5
54169,26,3
15553,27,5
17851,27,1
51230,27,1
56517,27,1
984,27,1
32007,28,1
233995,29,4
27426,30,5
234308,31,2
228205,32,4
238391,32,2
27933,33,4
235600,34,5
234074,34,2
237705,34,1
235574,34,3
69434,35,5
206083,36,1
139068,36,3
73850,36,4
141760,36,2
174965,37,1
237119,38,3
239104,38,1
81398,39,4
16348,39,5
116935,39,3
237066,39,4
239994,40,3
239990,40,4
169999,40,3
30248,40,4
239380,41,5
239384,41,3
239381,41,3
239380,41,5
239382,41,5
25336,42,3
23378,42,4
7936,42,3
216866,42,3
75736,42,3
88072,43,5
88070,43,2
187866,44,5
13630,45,1
55203,45,1
150220,46,5
98224,46,5
22878,46,4
214396,46,5
141889,46,5
43885,47,1
143090,47,5
154648,47,3
164044,47,4
233999,48,1
233997,48,2
233998,48,4
237456,49,3
237457,49,3
237455,49,1
206397,50,3
237582,50,4
233358,50,1
235874,50,3
38134,51,3
8548,51,3
38132,51,1
40533,52,3
232678,52,1
